Date,RM,RF,Year,Month
2008-11-12,-0.004958425,0,2008,11
2008-11-11,-0.021454474,0,2008,11
2008-11-10,-0.000434386,0,2008,11
2008-11-07,0.010270296,0,2008,11
2008-11-06,-0.057076167,0,2008,11
2008-11-05,-0.002878243,0,2008,11
2008-11-04,-0.000486481,0,2008,11
2008-11-03,0.025540686,0,2008,11
2008-10-31,0.039930481,0,2008,10
2008-10-30,0.062888629,0,2008,10
2008-10-29,0.001488647,0,2008,10
2008-10-28,0.0075798,0,2008,10
2008-10-27,-0.046455819,0,2008,10
2008-10-24,-0.031897195,0,2008,10
2008-10-23,-0.027162479,0,2008,10
2008-10-22,-0.016211721,0,2008,10
2008-10-21,0.002206073,0,2008,10
2008-10-20,-0.0057576,0,2008,10
2008-10-17,-0.022768062,0,2008,10
2008-10-16,-0.032459314,0,2008,10
2008-10-15,-0.008560802,0,2008,10
2008-10-14,0.054003235,0,2008,10
2008-10-13,-0.021492152,0,2008,10
2008-10-09,-0.014537876,0,2008,10
2008-10-08,-0.057607165,0,2008,10
2008-10-07,0.003443704,0,2008,10
2008-10-06,-0.041191314,0,2008,10
2008-10-03,0.006751734,0,2008,10
2008-10-02,-0.010459732,0,2008,10
2008-10-01,0.007820915,0,2008,10
2008-09-30,-0.035474389,0,2008,9
2008-09-26,-0.0216472,0,2008,9
2008-09-25,-0.01170303,0,2008,9
2008-09-24,-0.008024638,0,2008,9
2008-09-23,0.01171898,0,2008,9
2008-09-22,0.023485942,0,2008,9
2008-09-19,0.058212143,0,2008,9
2008-09-18,-0.027395891,0,2008,9
2008-09-17,0.007692054,0,2008,9
2008-09-16,-0.048882684,0,2008,9
2008-09-15,-0.040919521,0,2008,9
2008-09-12,0.009393869,0,2008,9
2008-09-11,-0.031907662,0,2008,9
2008-09-10,0.005173726,0,2008,9
2008-09-09,-0.035130033,0,2008,9
2008-09-08,0.055714983,0,2008,9
2008-09-05,-0.016428517,0,2008,9
2008-09-04,-0.026165806,0,2008,9
2008-09-03,-0.017148222,0,2008,9
2008-09-02,-0.016625349,0,2008,9
2008-09-01,-0.03307073,0,2008,9
2008-08-29,0.001811365,0,2008,8
2008-08-28,-0.006722243,0,2008,8
2008-08-27,0.016708784,0,2008,8
2008-08-26,-0.009404442,0,2008,8
2008-08-25,0.017228907,0,2008,8
2008-08-22,-0.000988656,0,2008,8
2008-08-21,-0.017386982,0,2008,8
2008-08-20,0.008927292,0,2008,8
2008-08-19,-0.003162523,0,2008,8
2008-08-18,-0.027202112,0,2008,8
2008-08-15,-0.017686154,0,2008,8
2008-08-14,0.004625401,0,2008,8
2008-08-13,-0.00020017,0,2008,8
2008-08-12,-0.00434366,0,2008,8
2008-08-11,0.016171363,0,2008,8
2008-08-08,0.026259221,0,2008,8
2008-08-07,-0.000236257,0,2008,8
2008-08-06,0.031238442,0,2008,8
2008-08-05,-0.023498859,0,2008,8
2008-08-04,-0.003595838,0,2008,8
2008-08-01,-0.003063755,0,2008,8
2008-07-31,-0.006547059,0,2008,7
2008-07-30,0.007966389,0,2008,7
2008-07-29,-0.030296034,0,2008,7
2008-07-25,-0.018248988,0,2008,7
2008-07-24,0.007968722,0,2008,7
2008-07-23,0.034558745,0,2008,7
2008-07-22,-0.002825421,0,2008,7
2008-07-21,0.039667983,0,2008,7
2008-07-18,-0.022824543,0,2008,7
2008-07-17,0.039321138,0,2008,7
2008-07-16,-0.018085405,0,2008,7
2008-07-15,-0.045091771,0,2008,7
2008-07-14,-0.012119104,0,2008,7
2008-07-11,0.023900278,0,2008,7
2008-07-10,0.00388749,0,2008,7
2008-07-09,-0.000510504,0,2008,7
2008-07-08,-0.039402761,0,2008,7
2008-07-07,0.015591257,0,2008,7
2008-07-04,-0.022408407,0,2008,7
2008-07-03,0.005471956,0,2008,7
2008-07-02,-0.007305635,0,2008,7
2008-07-01,-0.015359791,0,2008,7
2008-06-30,-0.003340946,0,2008,6
2008-06-27,-0.033672137,0,2008,6
2008-06-26,-0.005507278,0,2008,6
2008-06-25,0.015112198,0,2008,6
2008-06-24,-0.01756747,0,2008,6
2008-06-23,-0.003283796,0,2008,6
2008-06-20,-0.018054758,0,2008,6
2008-06-19,-0.020667885,0,2008,6
2008-06-18,0.00192519,0,2008,6
2008-06-17,0.003919327,0,2008,6
2008-06-16,0.007917992,0,2008,6
2008-06-13,0.005368189,0,2008,6
2008-06-12,-0.033943676,0,2008,6
2008-06-11,-0.002916368,0,2008,6
2008-06-10,-0.025379718,0,2008,6
2008-06-09,-0.017996993,0,2008,6
2008-06-06,0.000788468,0,2008,6
2008-06-05,0.012825981,0,2008,6
2008-06-04,0.005637904,0,2008,6
2008-06-03,-0.016624506,0,2008,6
2008-06-02,0.012227523,0,2008,6
2008-05-30,-0.007580956,0,2008,5
2008-05-29,0.00221447,0,2008,5
2008-05-28,-0.012833788,0,2008,5
2008-05-27,0.008103052,0,2008,5
2008-05-26,-0.014363767,0,2008,5
2008-05-23,-0.019238391,0,2008,5
2008-05-22,-0.000836331,0,2008,5
2008-05-21,-0.005879441,0,2008,5
2008-05-20,-0.024346975,0,2008,5
2008-05-19,0.010632341,0,2008,5
2008-05-16,0.004393274,0,2008,5
2008-05-15,0.015386287,0,2008,5
2008-05-14,0.003213739,0,2008,5
2008-05-13,0.018061053,0,2008,5
2008-05-12,0.004283249,0,2008,5
2008-05-09,-0.008371849,0,2008,5
2008-05-08,-0.006690312,0,2008,5
2008-05-07,0.007786736,0,2008,5
2008-05-06,0.002297141,0,2008,5
2008-05-05,-0.01411928,0,2008,5
2008-05-02,0.004900268,0,2008,5
2008-04-30,0.003169233,0,2008,4
2008-04-29,-0.020690339,0,2008,4
2008-04-28,0.014726476,0,2008,4
2008-04-25,-0.004727301,0,2008,4
2008-04-24,-0.002015876,0,2008,4
2008-04-23,-0.003182384,0,2008,4
2008-04-22,-0.005071934,0,2008,4
2008-04-21,0.000989604,0,2008,4
2008-04-18,-0.001769993,0,2008,4
2008-04-17,0.002690259,0,2008,4
2008-04-16,0.015827841,0,2008,4
2008-04-15,0.00360971,0,2008,4
2008-04-14,-0.001896835,0,2008,4
2008-04-11,0.009081025,0,2008,4
