Date,Open,High,Low,Close,Volume,Adj Close
2004-10-01,40.39,40.94,40.11,40.94,40318300,28.11
2004-09-30,39.65,40.21,39.65,39.84,41166600,27.35
2004-09-29,39.10,40.02,39.10,39.29,36948100,26.97
2004-09-28,39.56,39.56,39.56,39.56,000,27.16
2004-09-27,39.93,39.93,39.19,39.56,69283100,27.16
2004-09-24,41.40,41.40,40.21,40.21,70517200,27.60
2004-09-23,41.22,41.49,41.22,41.31,38204900,28.36
2004-09-22,42.32,42.32,41.68,42.14,30778200,28.93
2004-09-21,42.32,42.32,41.77,42.32,46013700,29.05
2004-09-20,41.49,41.77,41.22,41.59,26320000,28.55
2004-09-17,41.40,41.59,40.94,41.22,32449000,28.30
2004-09-16,40.94,41.77,40.85,41.77,35309700,28.68
2004-09-15,41.77,41.95,41.59,41.77,26407100,28.68
2004-09-14,42.32,42.41,41.77,41.86,52874600,28.74
2004-09-13,42.23,42.32,41.68,42.23,75730500,28.99
2004-09-10,41.31,41.31,40.76,41.03,48052000,28.17
2004-09-09,40.39,40.57,40.02,40.21,39255100,27.60
2004-09-08,40.76,40.76,40.30,40.39,32299800,27.73
2004-09-07,40.48,40.85,40.30,40.85,31154700,28.04
2004-09-06,40.30,40.67,39.84,40.48,62884600,27.79
2004-09-03,41.59,41.68,40.48,40.85,116010200,28.04
2004-09-02,42.78,43.15,41.77,42.23,58513100,28.99
2004-09-01,43.24,43.70,43.15,43.33,49437600,29.75
2004-08-31,43.98,44.25,43.06,43.24,53600300,29.69
2004-08-30,44.16,44.44,43.98,44.25,48797100,30.38
2004-08-27,44.62,44.62,44.16,44.16,42371500,30.32
2004-08-26,43.98,44.90,43.98,44.71,125474300,30.70
2004-08-25,43.24,43.24,43.24,43.24,000,29.69
2004-08-24,43.24,43.24,43.24,43.24,000,29.69
2004-08-23,42.69,43.52,42.69,43.24,40824500,29.69
2004-08-20,42.78,43.06,42.60,42.69,47513500,29.31
2004-08-19,41.95,43.15,41.95,43.06,92100400,29.56
2004-08-18,40.30,41.59,40.11,41.22,70599600,28.30
2004-08-17,40.11,40.39,40.11,40.30,16851300,27.66
2004-08-16,40.21,40.21,39.93,39.93,23397900,27.41
2004-08-13,39.75,40.57,39.75,40.30,33491000,27.66
2004-08-12,39.93,40.30,39.65,40.30,29744600,27.66
2004-08-11,40.30,40.85,40.30,40.30,55774000,27.66
2004-08-10,39.84,40.11,39.65,39.84,19952500,27.35
2004-08-09,39.56,40.30,39.47,39.84,56180800,27.35
2004-08-06,40.94,41.40,40.30,40.48,53666300,27.79
2004-08-05,40.48,41.68,39.84,41.40,67896200,28.42
2004-08-04,40.11,40.48,39.84,40.30,46516500,27.66
2004-08-03,39.56,40.57,39.47,40.48,65624800,27.79
2004-08-02,39.47,39.56,39.01,39.38,48137500,27.03
2004-07-30,39.29,39.84,38.92,39.47,103546900,27.10
2004-07-29,38.37,38.55,37.72,37.72,52289600,25.90
2004-07-28,38.64,39.10,38.27,38.37,60806700,26.34
2004-07-27,37.63,38.92,37.45,38.37,64181200,26.34
2004-07-26,38.18,38.37,37.63,37.63,69344700,25.83
2004-07-23,39.56,40.11,39.29,39.38,36564600,27.03
2004-07-22,38.64,40.02,38.64,39.84,79734000,27.35
2004-07-21,38.92,40.39,38.73,39.93,70934700,27.41
2004-07-20,38.37,38.73,38.18,38.18,60503200,26.21
2004-07-19,38.92,39.10,38.46,38.83,44885300,26.65
2004-07-16,38.64,39.75,38.64,39.10,57521000,26.84
2004-07-15,39.75,39.93,38.92,39.56,85294400,27.16
2004-07-14,40.94,41.22,40.57,40.67,39579800,27.92
2004-07-13,40.67,40.94,40.48,40.67,44683500,27.92
2004-07-12,42.32,42.32,40.94,41.22,46540600,28.30
2004-07-09,41.68,42.41,41.31,42.32,38187800,29.05
2004-07-08,41.40,42.14,41.31,41.40,39394400,28.42
2004-07-07,40.94,41.40,40.76,41.13,46767900,28.23
2004-07-06,41.22,42.32,41.22,42.32,23210900,29.05
2004-07-05,41.40,41.86,41.03,41.22,33041800,28.30
2004-07-02,42.60,43.06,42.32,42.51,64749300,29.18
2004-07-01,44.62,44.90,44.25,44.53,36878400,30.57
2004-06-30,43.24,44.53,43.24,44.53,77378700,30.57
2004-06-29,41.86,42.41,41.68,42.41,29281900,29.12
2004-06-28,42.41,42.60,41.40,42.23,31266400,28.99
2004-06-25,42.14,42.60,41.95,42.51,32327300,29.18
2004-06-24,42.60,42.60,42.05,42.14,42794600,28.93
2004-06-23,40.11,42.32,40.11,42.05,100380400,28.86
2004-06-22,40.02,40.02,40.02,40.02,000,27.48
2004-06-21,40.76,40.76,39.75,40.02,46682700,27.48
2004-06-18,40.11,40.11,38.92,39.38,64398600,27.03
2004-06-17,39.84,41.40,39.84,40.76,94744700,27.98
2004-06-16,41.31,41.31,39.56,40.02,76952800,27.48
2004-06-15,39.84,39.84,39.10,39.56,89744800,27.16
2004-06-14,40.48,41.77,39.75,39.84,103732800,27.35
2004-06-11,47.84,47.84,46.00,46.46,86573500,31.48
2004-06-10,49.68,50.14,48.76,48.76,48988700,33.04
2004-06-09,51.06,51.52,50.60,50.60,30502100,34.29
2004-06-08,51.06,51.98,50.60,51.98,42020900,35.22
2004-06-07,50.14,50.60,49.68,50.60,34712900,34.29
2004-06-04,48.76,49.68,48.30,48.76,47134300,33.04
2004-06-03,51.06,51.52,48.76,48.76,56479800,33.04
2004-06-02,51.52,51.98,50.14,51.06,40487500,34.60
2004-06-01,51.52,52.44,51.06,51.98,24257900,35.22
2004-05-31,52.90,52.90,51.52,51.52,26564800,34.91
2004-05-28,52.90,53.36,52.44,53.36,56125400,36.16
2004-05-27,52.44,52.44,51.52,52.44,38606200,35.53
2004-05-26,51.98,52.44,51.52,51.52,49042000,34.91
2004-05-25,49.68,51.06,49.22,50.14,31434000,33.97
2004-05-24,50.60,50.60,49.22,49.68,30973100,33.66
2004-05-21,50.14,51.52,49.68,50.60,59153000,34.29
2004-05-20,49.68,50.60,48.76,50.60,72739600,34.29
2004-05-19,49.68,51.06,49.22,51.06,65160000,34.60
2004-05-18,47.84,48.76,47.38,47.84,45803800,32.42
2004-05-17,49.22,49.22,47.38,47.38,69264400,32.10
